lhz,completeness_mean,completeness_climate,completeness_agriculture,completeness_economic,completeness_conflict,completeness_target_memory,completeness_min_cluster,n_test_obs,n_unique_true_classes,trivial_constant_target,excluded,f1_weighted,balanced_accuracy
agropastoral,0.7319247115968428,0.989454115261112,0.7009107468123862,0.48746912194026504,0.9363269185079591,0.9651639344262295,0.48746912194026504,315,3,False,False,0.7013907917133724,0.6706349206349206
crop_farming,0.6977762760488476,0.9832357563206445,0.7632058287795992,0.4102438626539434,0.9363269185079591,0.9651639344262295,0.4102438626539434,4221,4,False,False,0.7472164961107153,0.574068965336797
pastoral,0.6901925578974759,0.9586276829474396,0.6036429872495447,0.42990306160640773,0.9363269185079591,0.9651639344262295,0.4283685156074556,1260,4,False,False,0.6270962552903383,0.4162109062549992
