time,zone_code,zone_name,split,cluster,lead,base1,subject,predicted_cause,is_compound,top1_category,top1_score,top2_category,top2_score,margin,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,shap_DROUGHT_spi_3,shap_DROUGHT_ndvi_anomaly,shap_DROUGHT_ssmi_3,shap_DROUGHT_spei_3,shap_FLOODING_spi_3,shap_FLOODING_ssmi_3,shap_FLOODING_glofas_exceed_2yr,shap_CONFLICT_acled_event_count,shap_CONFLICT_acled_fatalities,shap_MARKET_SHOCK_grain_price_index,shap_MARKET_SHOCK_price_volatility,shap_MARKET_SHOCK_food_cpi_yoy_change,shap_MARKET_SHOCK_exchange_rate
2020-02-01,ET0410,East Hararge,test,agropastoral,0,2.7917085629162823,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.0037230385686370126,CONFLICT,0.0017623471685202805,0.5266374129544761,0.0,0.0015861753336929,0.0017623471685202805,0.0037230385686370126,0.0,0.0,0.0,0.0,0.0015861753336929,0.0,0.0,0.0016879935034591577,7.435366506112288e-05,0.0007131180289588791,0.0011672278393193999,0.0018426927003587336,0.0
2020-02-01,ET0502,Fafan,test,agropastoral,0,2.189456183620086,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.008479324999323858,FLOODING,0.005100108099209673,0.39852428116431954,0.0006478283027018295,0.005100108099209673,0.0020085094031777324,0.008479324999323858,0.0006478283027018295,0.0,0.0,0.0,0.0,0.005100108099209673,0.0,0.0020085094031777324,0.0,0.0,0.007032375800004795,0.001446949199319063,0.0
2020-02-01,ET0707,South Omo,test,agropastoral,0,2.162202779331769,ensemble,FLOODING,False,FLOODING,0.012173301977813751,MARKET_SHOCK,0.004675490811556718,0.6159225475488939,0.0,0.012173301977813751,0.0,0.004675490811556718,0.0,0.0,0.0,0.0,0.0,0.012173301977813751,0.0,0.0,0.0,0.0005812777229291667,0.0019351456192225538,0.0021532474023058467,5.820067099149829e-06
2020-02-01,ET0712,Alle,test,agropastoral,0,1.995676359840665,ensemble,FLOODING,False,FLOODING,0.00968683219232836,MARKET_SHOCK,0.004577341175109214,0.5274676917873821,0.0,0.00968683219232836,0.0,0.004577341175109214,0.0,0.0,0.0,0.0,0.0012060232704836891,0.00848080892184467,0.0,0.0,0.0,0.0,0.001869527850501365,0.002698778165778533,9.035158829315737e-06
2020-02-01,ET1201,Nuwer,test,agropastoral,0,1.0,ensemble,FLOODING,False,FLOODING,0.007556453400369192,MARKET_SHOCK,0.0027308156238651164,0.6386114650383876,0.0,0.007556453400369192,0.001980708529196147,0.0027308156238651164,0.0,0.0,0.0,0.0,0.0017804626591488894,0.005775990741220303,0.0,0.0008985254177969098,0.001082183111399237,0.0,0.001271224476956194,0.0014470094978298233,1.2581649079099283e-05
2020-06-01,ET0410,East Hararge,test,agropastoral,0,1.5339988634756343,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.003875397659169611,CONFLICT,0.002176282765767922,0.4384362697287074,0.0003718018211273709,0.0,0.002176282765767922,0.003875397659169611,0.0003718018211273709,0.0,0.0,0.0,0.0,0.0,0.0,0.0016472657503509656,0.0005290170154169563,5.398028522455937e-06,0.0014557855445750147,0.0024003000483235415,1.3914037748598964e-05
2020-06-01,ET0502,Fafan,test,agropastoral,0,2.0715855158401473,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.00986294339002781,CONFLICT,0.0020092740770934134,0.7962804816334095,0.000382549293006391,0.0,0.0020092740770934134,0.00986294339002781,0.000382549293006391,0.0,0.0,0.0,0.0,0.0,0.0,0.0020092740770934134,0.0,6.925593680393633e-06,0.007619144577199521,0.002236873219147895,0.0
2020-06-01,ET0707,South Omo,test,agropastoral,0,2.1366131289252444,ensemble,FLOODING,False,FLOODING,0.008086769297463275,MARKET_SHOCK,0.0038684981300556682,0.5216262529871885,0.0,0.008086769297463275,0.0,0.0038684981300556682,0.0,0.0,0.0,0.0,0.000984425315816935,0.007102343981646339,0.0,0.0,0.0,6.585852273298046e-05,0.0015109968003792738,0.002291642806943414,0.0
2020-06-01,ET0712,Alle,test,agropastoral,0,2.988879065253078,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.003952954832961443,FLOODING,3.816693287487594e-05,0.9903447080759378,0.0,3.816693287487594e-05,0.0,0.003952954832961443,0.0,0.0,0.0,0.0,3.816693287487594e-05,0.0,0.0,0.0,0.0,0.0,0.001958336927537928,0.0019916090754431635,3.0088299803505965e-06
2020-06-01,ET1201,Nuwer,test,agropastoral,0,1.0,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.003354156599137995,DROUGHT,0.001710222772651363,0.49011838830337157,0.001710222772651363,0.0,0.0,0.003354156599137995,0.0005773712420040689,0.0,0.0011328515306472942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012433261228075227,0.0020983828321188896,1.2447644211582521e-05
2020-10-01,ET0410,East Hararge,test,agropastoral,0,2.1335530145534523,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.010818597942020046,CONFLICT,0.0016673521886928044,0.8458809359929428,0.0002167141091915497,0.0,0.0016673521886928044,0.010818597942020046,0.0002167141091915497,0.0,0.0,0.0,0.0,0.0,0.0,0.0016149037410905951,5.2448447602209274e-05,8.787871449625383e-06,0.008455784276525501,0.0023540257940449193,0.0
2020-10-01,ET0502,Fafan,test,agropastoral,0,2.084985089326438,ensemble,MARKET_SHOCK,False,MARKET_SHOCK,0.01156468302952791,FLOODING,0.0009812402834334453,0.9151519950068618,0.0,0.0009812402834334453,0.0,0.01156468302952791,0.0,0.0,0.0,0.0,0.0009812402834334453,0.0,0.0,0.0,0.0,0.0,0.00955681726686648,0.00200786576266143,0.0
2020-10-01,ET0707,South Omo,test,agropastoral,0,2.477970734911445,ensemble,FLOODING,False,FLOODING,0.010070538949489269,MARKET_SHOCK,0.005061644586274942,0.4973809632570216,0.0,0.010070538949489269,0.0,0.005061644586274942,0.0,0.0,0.0,0.0,0.0014219588025175783,0.008648580146971691,0.0,0.0,0.0,0.0,0.002529284709846712,0.002532359876428231,0.0
