window,lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline
default,agropastoral,0,7,0.42857142857142855,0.10526315789473684,0.42857142857142855,0.0,0.18421052631578946
default,agropastoral,1,7,0.2857142857142857,0.13157894736842105,0.2857142857142857,0.0,0.18421052631578946
default,agropastoral,2,7,0.42857142857142855,0.10526315789473684,0.42857142857142855,0.0,0.18421052631578946
default,agropastoral,3,7,0.0,0.13157894736842105,0.0,0.0,0.18421052631578946
default,agropastoral,4,7,0.42857142857142855,0.10526315789473684,0.42857142857142855,0.14285714285714285,0.10526315789473684
default,agropastoral,8,7,0.2857142857142857,0.07894736842105263,0.3333333333333333,0.0,0.13157894736842105
default,agropastoral,12,7,0.14285714285714285,0.13157894736842105,0.15384615384615383,0.14285714285714285,0.10526315789473684
default,crop_farming,0,68,0.1323529411764706,0.08598130841121496,0.1463414634146341,0.029411764705882353,0.0616822429906542
default,crop_farming,1,68,0.10294117647058823,0.07663551401869159,0.1206896551724138,0.029411764705882353,0.0616822429906542
default,crop_farming,2,68,0.04411764705882353,0.07476635514018691,0.05405405405405406,0.029411764705882353,0.0616822429906542
default,crop_farming,3,68,0.029411764705882353,0.0616822429906542,0.038834951456310676,0.029411764705882353,0.0616822429906542
default,crop_farming,4,68,0.058823529411764705,0.028037383177570093,0.09195402298850575,0.1323529411764706,0.041121495327102804
default,crop_farming,8,68,0.058823529411764705,0.04672897196261682,0.08247422680412371,0.014705882352941176,0.04672897196261682
default,crop_farming,12,68,0.04411764705882353,0.037383177570093455,0.06593406593406594,0.11764705882352941,0.03364485981308411
default,pastoral,0,21,0.09523809523809523,0.11320754716981132,0.0975609756097561,0.0,0.15723270440251572
default,pastoral,1,21,0.14285714285714285,0.13836477987421383,0.13043478260869565,0.0,0.15723270440251572
default,pastoral,2,21,0.0,0.14465408805031446,0.0,0.0,0.15723270440251572
default,pastoral,3,21,0.047619047619047616,0.14465408805031446,0.044444444444444446,0.0,0.15723270440251572
default,pastoral,4,21,0.0,0.13836477987421383,0.0,0.047619047619047616,0.1509433962264151
default,pastoral,8,21,0.09523809523809523,0.14465408805031446,0.08695652173913043,0.19047619047619047,0.14465408805031446
default,pastoral,12,21,0.2857142857142857,0.09433962264150944,0.2857142857142857,0.14285714285714285,0.1320754716981132
extended,agropastoral,0,2,0.0,0.125,0.0,0.0,0.125
extended,agropastoral,1,2,0.0,0.125,0.0,0.0,0.125
extended,agropastoral,2,2,0.0,0.0,0.0,0.0,0.125
extended,agropastoral,3,2,0.0,0.0,0.0,0.0,0.125
extended,agropastoral,4,2,0.5,0.0,0.6666666666666666,0.0,0.0
extended,agropastoral,8,2,0.0,0.125,0.0,0.0,0.0
extended,agropastoral,12,2,0.0,0.125,0.0,0.0,0.0
extended,crop_farming,0,19,0.15789473684210525,0.11304347826086956,0.17142857142857143,0.15789473684210525,0.08695652173913043
extended,crop_farming,1,19,0.10526315789473684,0.08695652173913043,0.12903225806451615,0.15789473684210525,0.08695652173913043
extended,crop_farming,2,19,0.10526315789473684,0.08695652173913043,0.12903225806451615,0.15789473684210525,0.08695652173913043
extended,crop_farming,3,19,0.0,0.02608695652173913,0.0,0.15789473684210525,0.08695652173913043
extended,crop_farming,4,19,0.10526315789473684,0.06956521739130435,0.13793103448275862,0.05263157894736842,0.06956521739130435
extended,crop_farming,8,19,0.10526315789473684,0.043478260869565216,0.15384615384615385,0.0,0.017391304347826087
extended,crop_farming,12,19,0.05263157894736842,0.043478260869565216,0.08,0.0,0.017391304347826087
extended,pastoral,0,5,0.6,0.08571428571428572,0.5454545454545454,0.4,0.08571428571428572
extended,pastoral,1,5,0.4,0.08571428571428572,0.4000000000000001,0.4,0.08571428571428572
extended,pastoral,2,5,0.6,0.08571428571428572,0.5454545454545454,0.4,0.08571428571428572
extended,pastoral,3,5,0.2,0.11428571428571428,0.20000000000000004,0.4,0.08571428571428572
extended,pastoral,4,5,0.2,0.17142857142857143,0.16666666666666666,0.4,0.08571428571428572
extended,pastoral,8,5,0.4,0.11428571428571428,0.3636363636363636,0.4,0.08571428571428572
extended,pastoral,12,5,0.4,0.17142857142857143,0.3076923076923077,0.4,0.08571428571428572
