lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,ET0410,9,0.5973893576338667,0.7027091515555494,-1.1168327875579371,0.47078595267357115,0.6178881294897649,-0.6366470741235912,0.3838988812546704,0.46247937433031616,0.08310401219606922
agropastoral,0,ET0502,9,0.23598445121881775,0.2876674066259026,-0.20854409428480092,0.23186193341477818,0.4058041647488971,-1.4049950340096635,0.281419007249883,0.34298949542952734,-0.718077786947604
agropastoral,0,ET0707,9,0.3226308994019361,0.43088980801557886,-0.42019747997661727,0.28454692502762835,0.32448189997039745,0.19462666429746267,0.6560875104387858,0.7382675958471164,-3.169115316504117
agropastoral,0,ET0712,9,0.5652884735811676,0.7533680720538289,-1.668474199834173,0.553350763830526,0.7095363986036284,-1.3669982960889788,0.7419042139902897,0.8631931647245066,-2.5031970952440945
agropastoral,0,ET1201,9,0.21405709007122667,0.2569373862874709,-0.32624358297903555,0.15771750826377223,0.2732253817325206,-0.499722042117031,0.14548333434829566,0.23533204620653717,-0.11257893700421295
agropastoral,1,ET0410,9,0.4634856888949336,0.5246873615514378,-0.180148180410169,0.47078595267357115,0.6178881294897649,-0.6366470741235912,0.3838988812546704,0.46247937433031616,0.08310401219606922
agropastoral,1,ET0502,9,0.23245556579589122,0.29436095957514874,-0.26544013408196365,0.23186193341477818,0.4058041647488971,-1.4049950340096635,0.281419007249883,0.34298949542952734,-0.718077786947604
agropastoral,1,ET0707,9,0.30502638904713475,0.36478606985621187,-0.017871103548812828,0.28454692502762835,0.32448189997039745,0.19462666429746267,0.6560875104387858,0.7382675958471164,-3.169115316504117
agropastoral,1,ET0712,9,0.51702232654722,0.6728750224125617,-1.128714416012608,0.553350763830526,0.7095363986036284,-1.3669982960889788,0.7419042139902897,0.8631931647245066,-2.5031970952440945
agropastoral,1,ET1201,9,0.30331348172906325,0.3374451820432874,-1.2875740183116844,0.15771750826377223,0.2732253817325206,-0.499722042117031,0.14548333434829566,0.23533204620653717,-0.11257893700421295
agropastoral,2,ET0410,9,0.34071832631774535,0.4011273374774621,0.3102370603580338,0.47078595267357115,0.6178881294897649,-0.6366470741235912,0.3838988812546704,0.46247937433031616,0.08310401219606922
agropastoral,2,ET0502,9,0.21779767345980483,0.2819178895972426,-0.16071729491318254,0.23186193341477818,0.4058041647488971,-1.4049950340096635,0.281419007249883,0.34298949542952734,-0.718077786947604
agropastoral,2,ET0707,9,0.39558920425672184,0.42059684305756867,-0.35315738322734735,0.28454692502762835,0.32448189997039745,0.19462666429746267,0.6560875104387858,0.7382675958471164,-3.169115316504117
agropastoral,2,ET0712,9,0.6297618233081183,0.780937482675734,-1.8673527411326734,0.553350763830526,0.7095363986036284,-1.3669982960889788,0.7419042139902897,0.8631931647245066,-2.5031970952440945
agropastoral,2,ET1201,9,0.421554421902417,0.48493679181917054,-3.724316247178564,0.15771750826377223,0.2732253817325206,-0.499722042117031,0.14548333434829566,0.23533204620653717,-0.11257893700421295
agropastoral,3,ET0410,9,0.4358144047491545,0.5255562369945355,-0.18406003678169225,0.47078595267357115,0.6178881294897649,-0.6366470741235912,0.3838988812546704,0.46247937433031616,0.08310401219606922
agropastoral,3,ET0502,9,0.217017401060126,0.27288493266513997,-0.08752762551132443,0.23186193341477818,0.4058041647488971,-1.4049950340096635,0.281419007249883,0.34298949542952734,-0.718077786947604
agropastoral,3,ET0707,9,0.36559729936221097,0.47939689755652654,-0.7579508661721441,0.28454692502762835,0.32448189997039745,0.19462666429746267,0.6560875104387858,0.7382675958471164,-3.169115316504117
agropastoral,3,ET0712,9,0.5430202577659414,0.7309690931538683,-1.512156063399642,0.553350763830526,0.7095363986036284,-1.3669982960889788,0.7419042139902897,0.8631931647245066,-2.5031970952440945
agropastoral,3,ET1201,9,0.37612260837107847,0.414129002379698,-2.445402655487857,0.15771750826377223,0.2732253817325206,-0.499722042117031,0.14548333434829566,0.23533204620653717,-0.11257893700421295
